# Nx1 = 64
# x1-size = 2.23607
# Nx2 = 32
# x2-size = 1.11804
# CONSERVED vars at Time= 0.155957, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=M1 [7]=M2 [8]=M3 [9]=E [10]=B1c [11]=B2c [12]=B3c
 57  4 1.86921309e+00 1.74693734e-02 1.00006755e+00 -8.45791473e-02 4.22537141e-02 3.33884884e-02 6.60142141e-01 5.31918894e-01 8.52233248e-01 -3.35167801e-02
 58  4 1.90415166e+00 1.74693734e-02 1.00002163e+00 -8.67226378e-02 4.33211169e-02 2.39966421e-02 6.60096674e-01 5.34072078e-01 8.51150600e-01 -2.41240888e-02
 59  4 1.93909022e+00 1.74693734e-02 9.99876885e-01 -8.78797267e-02 4.38675048e-02 1.43696149e-02 6.59893431e-01 5.35155124e-01 8.50526578e-01 -1.44944458e-02
 60  4 1.97402878e+00 1.74693734e-02 9.99824940e-01 -8.83275205e-02 4.40284823e-02 4.61083280e-03 6.59752454e-01 5.35613793e-01 8.50245404e-01 -4.73194634e-03
 61  4 2.00896734e+00 1.74693734e-02 9.99877813e-01 -8.83721316e-02 4.40288994e-02 -5.18238973e-03 6.59795855e-01 5.35803996e-01 8.50158517e-01 5.06687970e-03
 62  4 2.04390591e+00 1.74693734e-02 1.00003526e+00 -8.80464750e-02 4.39479448e-02 -1.49269966e-02 6.60049266e-01 5.35570821e-01 8.50387970e-01 1.48179018e-02
 63  4 2.07884447e+00 1.74693734e-02 1.00024513e+00 -8.68724613e-02 4.34993653e-02 -2.45419443e-02 6.60261818e-01 5.34378630e-01 8.51017946e-01 2.44371292e-02
 64  4 2.11378303e+00 1.74693734e-02 1.00031682e+00 -8.44086769e-02 4.23304889e-02 -3.39424049e-02 6.60272057e-01 5.31928384e-01 8.52211976e-01 3.38434273e-02
 65  4 2.14872159e+00 1.74693734e-02 1.00023954e+00 -8.08304251e-02 4.04968523e-02 -4.30247316e-02 6.60162974e-01 5.28368505e-01 8.53946034e-01 4.29348087e-02
 66  4 2.18366016e+00 1.74693734e-02 1.00019243e+00 -7.64588430e-02 3.82447543e-02 -5.16647483e-02 6.60060495e-01 5.23990698e-01 8.56111977e-01 5.15832748e-02
